score,vote,title,author,genre,star,n_rating,n_review,pages,year
398777,4031,Harry Potter and the Deathly Hallows,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Childrens', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",4.62,2916570,67432,759,2007
296347,3025,The Hunger Games,Suzanne Collins,"['Young Adult', 'Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Young Adult', 'Teen', 'Apocalyptic', 'Post Apocalyptic', 'Action']",4.32,6600922,174470,374,2008
263628,2677,The Kite Runner,Khaled Hosseini,"['Fiction', 'Historical', 'Historical Fiction', 'Contemporary', 'Classics', 'Novels', 'Historical', 'Literature', 'Adult', 'Adult Fiction', 'Drama']",4.31,2507857,75613,371,2004
255666,2604,The Book Thief,Markus Zusak,"['Historical', 'Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II', 'Holocaust', 'War', 'World War II', 'Writing', 'Books About Books', 'Audiobook']",4.38,1911749,115525,552,2006
222873,2295,Harry Potter and the Half-Blood Prince,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Childrens', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",4.57,2537401,41151,652,2006
202733,2106,Harry Potter and the Order of the Phoenix,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Childrens', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",4.5,2613575,44397,870,2004
167834,1736,The Help,Kathryn Stockett,"['Fiction', 'Historical', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Classics', 'Audiobook', 'Book Club', 'Womens Fiction', 'Chick Lit']",4.46,2240425,85251,451,2009
163634,1675,A Thousand Splendid Suns,Khaled Hosseini,"['Fiction', 'Historical', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'War', 'Adult', 'Adult Fiction', 'Drama', 'Literature']",4.38,1192293,55748,372,2007
150796,1547,Life of Pi,Yann Martel,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Novels', 'Literature', 'Magical Realism', 'Cultural', 'India', 'Philosophy']",3.92,1377484,47804,460,2006
148493,1558,Catching Fire,Suzanne Collins,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Young Adult', 'Teen', 'Apocalyptic', 'Post Apocalyptic', 'Action']",4.29,2620171,98149,391,2009
143510,1492,The Girl with the Dragon Tattoo,Stieg Larsson,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Novels']",4.14,2691265,69486,465,2008
140186,1439,The Time Traveler's Wife,Audrey Niffenegger,"['Fiction', 'Romance', 'Fantasy', 'Science Fiction', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult', 'Womens Fiction', 'Chick Lit', 'Adult Fiction', 'Magical Realism']",3.98,1609024,47821,500,2013
130998,1365,The Fault in Our Stars,John Green,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Young Adult', 'Teen', 'Young Adult', 'Coming Of Age', 'Novels', 'Drama', 'Love']",4.2,3715223,157160,313,2012
125048,1302,The Da Vinci Code,Dan Brown,"['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Thriller', 'Mystery Thriller', 'Historical', 'Historical Fiction', 'Adventure', 'Novels', 'Mystery', 'Crime', 'Adult']",3.86,1990313,47960,489,2006
121848,1249,The Road,Cormac McCarthy,"['Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Apocalyptic', 'Post Apocalyptic', 'Horror', 'Classics', 'Literature', 'Novels', 'Science Fiction', 'Apocalyptic', 'Contemporary']",3.97,738425,46674,241,2006
112212,1168,Water for Elephants,Sara Gruen,"['Fiction', 'Historical', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Book Club', 'Novels', 'Animals']",4.09,1414559,59175,335,2007
111914,1167,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Novels', 'Classics', 'Psychology', 'Literature', 'Realistic Fiction', 'Academic', 'School']",3.89,1231706,45085,226,2004
103550,1109,Mockingjay,Suzanne Collins,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Young Adult', 'Teen', 'Apocalyptic', 'Post Apocalyptic', 'Science Fiction Fantasy']",4.05,2437145,105291,398,2010
86302,891,Middlesex,Jeffrey Eugenides,"['Fiction', 'Historical', 'Historical Fiction', 'Contemporary', 'LGBT', 'Literary Fiction', 'Novels', 'Classics', 'Literature', 'GLBT', 'Queer', 'Adult']",4.01,590616,23440,529,2003
85189,896,The Lovely Bones,Alice Sebold,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Mystery', 'Crime', 'Adult Fiction', 'Adult', 'Drama', 'Thriller']",3.82,2067999,41025,372,2006
82774,886,Divergent,Veronica Roth,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Young Adult', 'Teen', 'Apocalyptic', 'Post Apocalyptic', 'Action']",4.19,3023738,109236,487,2012
82599,866,Twilight,Stephenie Meyer,"['Young Adult', 'Fantasy', 'Romance', 'Fiction', 'Paranormal', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Supernatural', 'Young Adult', 'Teen', 'Fantasy', 'Urban Fantasy']",3.61,5140977,106284,501,2006
80882,847,Atonement,Ian McEwan,"['Fiction', 'Historical', 'Historical Fiction', 'Romance', 'Classics', 'Historical', 'War', 'Literary Fiction', 'Contemporary', 'Literature', 'Novels']",3.91,450634,17638,351,2003
80836,861,The Lightning Thief,Rick Riordan,"['Fantasy', 'Young Adult', 'Fantasy', 'Mythology', 'Fiction', 'Childrens', 'Middle Grade', 'Adventure', 'Childrens', 'Fantasy', 'Urban Fantasy', 'Mythology', 'Greek Mythology', 'Fantasy', 'Magic']",4.26,2086433,63487,377,2006
76551,799,The Shadow of the Wind,Carlos Ruiz Zafón,"['Fiction', 'Historical', 'Historical Fiction', 'Mystery', 'Fantasy', 'Writing', 'Books About Books', 'Historical', 'Cultural', 'Spain', 'European Literature', 'Spanish Literature', 'Magical Realism', 'Gothic']",4.27,486531,37399,487,2005
74947,778,American Gods,Neil Gaiman,"['Fantasy', 'Fiction', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Mythology', 'Audiobook', 'Science Fiction', 'Science Fiction Fantasy', 'Adult', 'Contemporary', 'Novels']",4.1,784631,39457,635,2011
73602,780,City of Bones,Cassandra Clare,"['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fantasy', 'Urban Fantasy', 'Fiction', 'Paranormal', 'Vampires', 'Fantasy', 'Supernatural', 'Paranormal', 'Angels', 'Fantasy', 'Magic']",4.09,1671867,63310,485,2007
72596,750,Extremely Loud & Incredibly Close,Jonathan Safran Foer,"['Fiction', 'Contemporary', 'Historical', 'Historical Fiction', 'Novels', 'Adult Fiction', 'Adult', 'Literary Fiction', 'Literature', 'New York', 'Young Adult']",3.97,388098,23465,326,2006
71870,759,The Secret Life of Bees,Sue Monk Kidd,"['Fiction', 'Historical', 'Historical Fiction', 'Young Adult', 'Classics', 'Adult Fiction', 'Historical', 'Contemporary', 'Young Adult', 'Coming Of Age', 'Adult', 'Novels']",4.06,1140828,30971,302,2003
70776,745,The Glass Castle,Jeannette Walls,"['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Biography Memoir', 'Biography', 'Autobiography', 'Book Club', 'Adult', 'Audiobook', 'Contemporary', 'Academic', 'School']",4.28,939947,52099,288,2006
66984,713,Angels & Demons,Dan Brown,"['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Thriller', 'Mystery Thriller', 'Adventure', 'Mystery', 'Crime', 'Historical', 'Historical Fiction', 'Novels', 'Adult']",3.91,2753019,29614,736,2006
66881,707,My Sister's Keeper,Jodi Picoult,"['Fiction', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction', 'Realistic Fiction', 'Family', 'Novels']",4.08,1078887,33774,423,2005
63691,670,Never Let Me Go,Kazuo Ishiguro,"['Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Contemporary', 'Literary Fiction', 'Novels', 'Adult', 'Romance', 'Literature', 'European Literature', 'British Literature']",3.82,495726,32865,288,2010
62010,670,The Girl Who Played with Fire,Stieg Larsson,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Cultural', 'Sweden', 'Adult', 'Audiobook']",4.24,827824,34498,503,2009
54518,567,Cloud Atlas,David Mitchell,"['Fiction', 'Science Fiction', 'Fantasy', 'Historical', 'Historical Fiction', 'Science Fiction', 'Dystopia', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'Historical']",4.0,224227,19725,509,2004
50767,540,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Romance', 'War', 'World War II', 'Book Club', 'War', 'Adult', 'Adult Fiction', 'Writing', 'Books About Books']",4.17,631982,55080,291,2018
50749,544,The Host,Stephenie Meyer,"['Young Adult', 'Science Fiction', 'Fantasy', 'Romance', 'Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Paranormal', 'Science Fiction', 'Aliens', 'Adult', 'Romance', 'Paranormal Romance']",3.84,917942,41705,619,2008
50655,547,Breaking Dawn,Stephenie Meyer,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Vampires', 'Fiction', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Supernatural', 'Shapeshifters', 'Werewolves', 'Fantasy', 'Urban Fantasy']",3.7,1370966,47527,756,2008
48873,537,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Cultural', 'Sweden', 'Audiobook']",4.22,661559,29278,566,2010
48815,530,Eclipse,Stephenie Meyer,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Vampires', 'Fiction', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Supernatural', 'Shapeshifters', 'Werewolves', 'Young Adult', 'Teen']",3.7,1474575,38343,629,2007
46029,490,"Eat, Pray, Love",Elizabeth Gilbert,"['Nonfiction', 'Autobiography', 'Memoir', 'Travel', 'Biography', 'Womens Fiction', 'Chick Lit', 'Romance', 'Spirituality', 'Biography Memoir', 'Contemporary', 'Biography', 'Autobiography']",3.58,1518632,54333,368,2007
44947,492,New Moon,Stephenie Meyer,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Vampires', 'Fiction', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Supernatural', 'Shapeshifters', 'Werewolves', 'Young Adult', 'Teen']",3.55,1520558,48316,563,2006
43079,445,The Name of the Wind,Patrick Rothfuss,"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adult', 'Adventure', 'Audiobook', 'Epic']",4.52,748468,43376,662,2007
42235,442,Kafka on the Shore,Haruki Murakami,"['Fiction', 'Magical Realism', 'Fantasy', 'Cultural', 'Japan', 'Asian Literature', 'Japanese Literature', 'Contemporary', 'Novels', 'Literature', 'Literary Fiction', 'Cultural', 'Asia']",4.13,322819,22674,467,2006
41483,450,City of Glass,Cassandra Clare,"['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fantasy', 'Urban Fantasy', 'Paranormal', 'Vampires', 'Fiction', 'Paranormal', 'Angels', 'Fantasy', 'Supernatural', 'Fantasy', 'Magic']",4.3,824006,28649,541,2009
40729,436,The Graveyard Book,Neil Gaiman,"['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Childrens', 'Childrens', 'Middle Grade', 'Fantasy', 'Paranormal', 'Audiobook', 'Paranormal', 'Ghosts', 'Fantasy', 'Supernatural']",4.13,455799,32376,307,2008
40238,434,Room,Emma Donoghue,"['Fiction', 'Contemporary', 'Adult', 'Adult Fiction', 'Book Club', 'Thriller', 'Audiobook', 'Drama', 'Realistic Fiction', 'Mystery', 'Crime']",4.06,735232,47516,321,2010
37286,412,City of Ashes,Cassandra Clare,"['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fantasy', 'Urban Fantasy', 'Paranormal', 'Vampires', 'Fiction', 'Fantasy', 'Supernatural', 'Paranormal', 'Angels', 'Fantasy', 'Magic']",4.15,777862,29902,453,2008
36384,380,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"['Nonfiction', 'Economics', 'Business', 'Science', 'Psychology', 'Sociology', 'Politics', 'Economics', 'Finance', 'Audiobook', 'Social Science']",3.98,732995,16618,320,2006
35846,393,Gone Girl,Gillian Flynn,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Audiobook']",4.08,2421871,134260,415,2014
35578,372,The Brief Wondrous Life of Oscar Wao,Junot Díaz,"['Fiction', 'Contemporary', 'Magical Realism', 'Novels', 'Literary Fiction', 'Historical', 'Historical Fiction', 'Literature', 'Audiobook', 'Book Club', 'Adult']",3.89,236176,19650,335,2007
35341,373,The Corrections,Jonathan Franzen,"['Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'Literature', 'American', 'Family', 'The United States Of America', 'Unfinished', 'Adult Fiction']",3.8,160950,9580,653,2002
34318,368,The Night Circus,Erin Morgenstern,"['Fantasy', 'Fiction', 'Romance', 'Historical', 'Historical Fiction', 'Fantasy', 'Magic', 'Young Adult', 'Magical Realism', 'Adult', 'Audiobook', 'Historical']",4.03,719756,75975,391,2011
33730,362,The Devil in the White City,Erik Larson,"['Nonfiction', 'History', 'Crime', 'True Crime', 'Mystery', 'Crime', 'Historical', 'Mystery', 'Audiobook', 'North American Hi...', 'American History', 'Biography', 'Book Club']",3.98,548040,33513,0,2003
32777,349,The Thirteenth Tale,Diane Setterfield,"['Fiction', 'Mystery', 'Historical', 'Historical Fiction', 'Gothic', 'Writing', 'Books About Books', 'Adult', 'Historical', 'Fantasy', 'Book Club', 'Thriller', 'Mystery Thriller']",3.96,278963,23332,406,2006
32721,354,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,"['Nonfiction', 'Autobiography', 'Memoir', 'Animals', 'Animals', 'Dogs', 'Biography', 'Humor', 'Biography Memoir', 'Adult', 'Contemporary', 'Biography', 'Autobiography']",4.13,449341,14232,291,2005
